Widget,Element,Options
TButton,Button.button,()
TButton,Button.padding,"('padding', 'relief', 'shiftrelief')"
TButton,Button.label,"('compound', 'space', 'text', 'font', 'foreground', 'underline', 'width', 'anchor', 'justify', 'wraplength', 'embossed', 'image', 'stipple', 'background')"
TButton,Button.focus,()
TCheckbutton,Checkbutton.padding,"('padding', 'relief', 'shiftrelief')"
TCheckbutton,Checkbutton.label,"('compound', 'space', 'text', 'font', 'foreground', 'underline', 'width', 'anchor', 'justify', 'wraplength', 'embossed', 'image', 'stipple', 'background')"
TCombobox,Combobox.padding,"('padding', 'relief', 'shiftrelief')"
TCombobox,Combobox.textarea,"('font', 'width')"
TEntry,Entry.field,()
TEntry,Entry.padding,"('padding', 'relief', 'shiftrelief')"
TEntry,Entry.textarea,"('font', 'width')"
TLabel,Label.border,"('relief',)"
TLabel,Label.padding,"('padding', 'relief', 'shiftrelief')"
TLabel,Label.label,"('compound', 'space', 'text', 'font', 'foreground', 'underline', 'width', 'anchor', 'justify', 'wraplength', 'embossed', 'image', 'stipple', 'background')"
TMenubutton,Menubutton.padding,"('padding', 'relief', 'shiftrelief')"
TMenubutton,Menubutton.label,"('compound', 'space', 'text', 'font', 'foreground', 'underline', 'width', 'anchor', 'justify', 'wraplength', 'embossed', 'image', 'stipple', 'background')"
TRadiobutton,Radiobutton.padding,"('padding', 'relief', 'shiftrelief')"
TRadiobutton,Radiobutton.label,"('compound', 'space', 'text', 'font', 'foreground', 'underline', 'width', 'anchor', 'justify', 'wraplength', 'embossed', 'image', 'stipple', 'background')"
Horizontal.TScale,Horizontal.Scale.trough,()
Vertical.TScale,Vertical.Scale.trough,()
Horizontal.TScrollbar,Horizontal.Scrollbar.trough,()
Horizontal.TScrollbar,Horizontal.Scrollbar.leftarrow,()
Horizontal.TScrollbar,Horizontal.Scrollbar.rightarrow,()
Horizontal.TScrollbar,Horizontal.Scrollbar.thumb,()
Vertical.TScrollbar,Vertical.Scrollbar.trough,()
Vertical.TScrollbar,Vertical.Scrollbar.uparrow,()
Vertical.TScrollbar,Vertical.Scrollbar.downarrow,()
Vertical.TScrollbar,Horizontal.Scrollbar.thumb,()
Treeview,Treeview.field,()
Treeview,Treeview.padding,"('padding', 'relief', 'shiftrelief')"
